Validator,Vote Account,Stake (SOL),VL,LLV,CV,VO
,FqERCVEHjm9P9hghJwWbyN4TqwCCAYteeX1v6gBtt88p,26745.73641,2.053,87.81%,94.86%,N
MightyMooseValidator,EGg6LTZDgV9CgpPZnpTTzmebSSyaH91cQ2eoiDxiJPvm,26736.24637,1.568,89.73%,99.19%,N
pro100invest,4gg56BTsCSEXW3CLw7BuT31x3ptEjSz6aeVE1Xjby22R,26303.47442,2.139,76.02%,92.20%,N
Digital Energy,86Sw9R6ynPmXnHfwUWinXtq1QoF2KHesfQQyZG5r8sXo,25809.40030,1.911,81.02%,93.16%,N
Chulok,6V4SMF3vweyPZWUiPAXkZsNstHDoecsWdCDTUacn8j4u,25367.70209,1.779,87.29%,95.45%,N
genco,6yShbTX3KRMJLANDfo8Xo4aHYCjepjUbna9Y64mdQB1a,25239.43998,1.796,84.99%,94.34%,N
xXx with ⓿% fee + 💯% Jito MEV rewards!,6p7SQ6D3ACRYDM7x5Pjb9xa6sChaD3ZBoZxXpR2LyUZ7,25219.56211,1.610,88.68%,98.90%,N
Envbest Validator,GMiBDMmwFRZfxVuHt3bXe6ZF7mGUBGWKXHLfY97NwQ72,24767.14656,2.047,77.96%,83.26%,N
DeezNode X,5yFNiQbTabGCMzvfyrhjiMAH1g6VEcs7uHe4W3KyYwR7,24728.17459,1.745,85.75%,91.73%,N
Reflect Validator,rFLcT89WTT6kJsKmrMzpz5FUZHy7Z9bycBF1Q1SMy6i,24492.71545,1.625,88.55%,97.49%,N
,5TFdzjKE6LnkhQArxWjt26yVCXskPo3fUXE8F351Cfn7,24462.98192,1.888,83.22%,93.88%,N
Restake,BARLL1NvF3jPHQ3zb82q1v5m6uewcpkgRBYVNufQMWjo,24345.00743,1.355,94.61%,99.90%,N
,5rLhUQWKogfKixoUr3XxrMDJEx8FPWBnXCdVgH7YEFGT,24206.22207,1.880,83.81%,92.38%,N
gaver,CJznrtFkWvkK91W57btS77cXqRKce3DcoX8KXRp2WzpR,24092.44775,1.775,92.74%,98.88%,N
,7CW3zdKsfzCVDZBXsKcimqkGS7nuHEsz4KB1oysfec2K,24043.68812,1.643,88.89%,95.82%,N
Pigeon 🕊️,A5tXuTBECLBm7DwHcUvPJrqFbzCuBpj2Vm57E8vnnq5W,23971.02773,1.656,90.81%,97.83%,N
Tiggo,AWFQY2upeyu9YHstZM4gNDvRWS3ircS6EGrSTntg6E9k,23971.02739,1.675,90.39%,97.31%,N
AirStaking,Ea3QDFfHSEPbTDKPaDSKwcYYK4unXR5HEuqeiQKU5Scr,23585.85056,1.674,88.39%,97.24%,N
vasrox,8d25KBXdovroNVbjRmvDeW7H3QMW2nfZZo7G9zQ693ki,22964.68698,2.186,89.57%,97.29%,N
FomoSapiens,5ysJtUNfmASWjzdQy1vyvrVp9jAg5Vq791HABeobrCX5,22509.88141,1.437,93.11%,99.74%,N
,HimWQUK61d9wxhw7EYu9jUje7xQiDs4jKexaTSvuCmXE,22071.16160,1.986,80.80%,87.15%,N
VNStake,2sR1ApkwZebjrfMxAyWxEokCQVDzw6FyEYwSk11wav87,21725.95354,1.402,94.38%,99.64%,N
Solscan,scanjszMg2p4pXCZJWNUY8gEN6sCqY2oThXV58NPbWd,21650.68626,1.886,85.60%,97.18%,N
GERvalidator 🇩🇪,5nH6sYJNSa71DCBQHgRCsX1dh5W1bWrUPeYieo9xyZ7f,21426.17400,1.509,94.08%,99.53%,N
firstblock.network,HpeyxYuEXXdB7Xx58pWN6o6aKdw6mxSRBHYAZpXsdkpS,21267.23230,1.849,83.45%,94.68%,N
Good for SOL,AkTJNhRStpi6FmehZi2tit96vQgXkmgpkfGfrp4krQuN,20655.79465,2.378,89.32%,97.13%,N
Irishka,4DW4nrbGrjXRhhj3CH3AYgocExfqEoCCSMxZ9uzc3NpK,19895.65924,2.253,81.30%,90.12%,N
nik4,6T5kjAEURp7jsEfX6NdQVczDseUgMFHtK349Agouwotq,19868.78704,2.177,89.99%,97.40%,N
Celestial,2Z3wkL3hKB9ERwcPCDXLok7ZY5SKWC6m2ExhmDRRuCEv,19782.46139,1.403,94.20%,99.23%,N
Joker  - 0% commission + MEV rewards,JokeruQoFrVevoPR5QBRPGncPQbtrpq3PJEcY22JefC,19689.07089,2.461,79.73%,86.23%,N
CyberAlex 👑 MEV,VaCdXKupamusfRsDf9Ai7e8Up36Z4f3MP6SqhnM7c76,19660.45073,2.248,85.92%,92.66%,N
WayneWayner,45W8qw7QurSGkRrsiQpYapifreLouNv7hFbwnnzRjMMR,19646.15924,1.923,80.75%,89.99%,N
Otets,4ZCnzKSLNUrJnLqPGYvD2DWgZuoFrs419tEk1J1VZyNw,19630.31064,1.407,94.44%,99.63%,N
MMGuru,12pVREJSt8d5AV4aBzGFf3QZn3qo8DWmwBQu3wQ5RAZ9,19552.84443,1.748,86.30%,93.79%,N
VesuvioStake,2EugUXCgvu1qAfKiUgDjcMpeMcr1pvWVeug9YHtGDoSq,19544.11418,1.468,92.35%,99.52%,N
asaf91,3CnKZPQn92W8WXG7KTVaFQRk8LJJ3KZbrVVF4ngUxqkg,19466.21157,1.598,92.43%,98.93%,N
MSK,Fx9gdBmp4Rer7rxu139ofGKcx3iffKS91gg2kFUeBvjD,19416.23989,1.661,88.31%,95.67%,N
web3ident,GhBWWed6j9tXLEnKiw9CVDHyQCYunAVGnssrbYxbBmFm,19148.62051,2.486,85.16%,96.10%,N
Maline,5Uq8xt2rMRByjXRWJzHMZA3EKtsGnGaaYFWK8CJFM9tx,19046.25331,2.330,83.84%,97.94%,N
Uzbekistan 🇺🇿 + MEV 🚀,GVQEm6h2UjDKhSU54kf7kFumJ5NDWddyYUtgy5eLCtBn,18926.57375,1.607,93.27%,98.67%,N
vladika,53RJBy7aBGA7Aag6AryxEmBbsHDgwfBWagLrPbGHnfvR,18909.76979,2.728,87.38%,97.30%,N
pasha_k,4EPxG5rp1sUuHtrTcgQYfPo6KjvTWp6YafYsdUSP7mks,18904.27921,1.498,92.03%,98.09%,N
,F19Lw3eT39uTa9bPRvqePP6DyukTeAP86ctrceHoJUTX,18902.47755,2.390,85.56%,90.70%,N
Eugene_A,H7v2FWKJJ2mPd1uof34QktfmxmdZxDH8Pk1YchoeyMXX,18902.37610,1.583,89.38%,98.44%,N
buba,6rC1zg98a89eQurdnvXz6uJ3zZZa2f683WwCDB41Us8w,18899.48364,1.705,92.11%,98.64%,N
phobos,APXk9VZkjTPFjJNLFvmCDHqMQ7moQd3ywf3qGtSjvHyj,18898.70172,1.546,90.81%,98.66%,N
shab,DgXagy9ggXCXjxZiH2D8M5HZDaUvERAE6Lh3jSNCMLZ6,18894.43312,1.602,90.31%,97.18%,N
Visor,ADmLWUm2eQ3KFijFbqa4bVfiLVmW5iqjStE5b8Wbti1y,18890.75382,1.819,91.08%,98.83%,N
,EJEsgjKdxKPe5mRaepH6bT8Q8xfSo7Lr9G7iEi6AgZMR,18884.83642,2.475,90.29%,97.01%,N
Bynary,xMjsjrBAYaccVsHR5FhAYjTY2SCTRR1XcsAbt6P3TB7,18884.29540,2.145,90.49%,98.46%,N
kira,5RBfeGBGQRRTvmoDrzuzgz72qR6YFUknT91Xfra2LRL9,18881.38046,2.082,90.76%,98.75%,N
QuickNode,2DpnT6to3eJsXeg1Tk42XFCXLMKL7pGzMKFwQS5CNK6a,18878.50334,1.598,94.27%,99.52%,N
YVa,CSWfwhactcdyK2YcRmk3Hx1AZzNKDFnCecwiYsJDkuSm,18875.26991,1.475,92.25%,98.03%,N
ifrosta +MEV,BNYVMkawH7ekKdbZ7NHqd7duLVc6QLATHYf5aqMkwjec,18869.12115,2.061,85.02%,91.61%,N
Dark74,CS8DoKUL3nXeyVbg8arD8TBZTym4U5ijgCf9uZHGqZET,18868.91838,2.012,79.09%,89.18%,N
,HzJULufbrhteHLQDYAh8ZZn3P6Kip9MDo2eLEXgiTJed,18835.69720,2.241,87.00%,93.52%,N
Sirius,a1exajFBsggm7R7ydb4LwyEAdsLCUKNAiUrre9B12kV,18832.05596,1.459,93.17%,99.57%,N
,66fsNu5A6iB1WUXGjuBMBXm2qYQrbtc385bcVYaVu7QD,18830.61883,2.716,89.96%,96.46%,N
maximxmoroz,DgHgHL2j53ugB4whBJh21MYLKmyaW9jrCzVM87E7zgVe,18820.44062,1.667,87.78%,98.19%,N
DeezNode UK,3XDZhoRESsx9bU9rdX94qrtLL7YCxhgX3dKmXFRV2vU7,17666.24857,1.657,87.98%,93.90%,N
"apySOL | 0% Commission, 0% MEV",apySoLRzPkGf8EEinWQjAbL6B4frjgx4gG4YePoM9NJ,17207.12658,2.035,82.79%,88.68%,N
DeezNode XYZ,FwnUt6MUucm4mKKGfRVcKo7W82MTusfZ2sDhnc8k6F5i,17085.71244,2.497,81.27%,94.21%,N
Necro Monitors,vCLwKDp6hSCWQgQ7yVyx8vhbW4zQgrZ2btWfqvtw6ic,16769.89946,1.375,94.40%,99.72%,N
Litx - 0% Commission,D7WodK26tETSqyWBW35vvMGfige9afLEyTsm1Pvvropd,16528.24850,2.041,86.61%,92.97%,N
Humbility,EWRHPjhZmYj4oqgo4MyjuqoWzuPhCcRvTtdGDjuLWeMq,16007.75255,1.818,87.99%,94.29%,N
Raydium Validator,RaydiumJDX8X6om6Fg44xyqz5eukZ9KC3LX61SttLbH,15166.47512,2.088,75.56%,92.85%,N
MX Validator,Mxv1Ubm71XoUvxrN3qjN8ii6Bh5b43NuuKywsWx6ox2,15161.90180,1.863,86.22%,96.10%,N
CMS Holdings,RAREcr3SmDePhWD4Je1qEh1UMCQD5MFaDHF7UTzezQh,13824.57370,1.879,83.91%,94.75%,N
REV,EogKVYgic8LKAuV1kR9nRqJaS5zpwCvSMfqoehzmAMpK,13312.57064,1.538,90.15%,97.18%,N
Karma Stake - 0% fees + MEV,KaRMa7rp6WbmBgkqLAGLHw2KGmffiTtb4GsUQKM1onY,13007.39040,1.314,96.31%,99.68%,N
MSC DAO | No comission,CdSGp7TLd8cFSwpEN4vKyroVxaCq76dCwCVMSmzAmGNF,11940.97659,1.457,92.69%,98.51%,N
Cryptostake.com 🇨🇭🇺🇦,8fw5b8A2Ss11PFUVSN9MEA7LKkHEwwADU8YaKtaVfdLn,11758.88411,2.113,85.21%,94.81%,N
HydraLabs 7-8%+ BEST STAKING,BGoQwskddfA7DvGkp5JBSuBbryQ96tgeq7ubu7Y8TCGn,11572.48031,1.421,93.72%,99.72%,N
Serhio911,FXcZJuQwkcQpw2YrkTaxWJ6rnw4P12wvULttviMRn655,10234.85468,1.743,87.36%,97.50%,N
LEDGER,DDyikTKaM6RW8PZes38aULUeZkWCtecPZt2pmGCby5Q4,10012.84274,1.736,87.05%,94.03%,N
Jito MEV,7Tky1T9JDevVnNi9oF7tbq6T9KjRVdsMyrHusMKWbY4n,10012.84191,1.716,87.35%,94.56%,N
,G3wJM4gfVhkSapswtSgtQ6HmYoaiXY77asK3pxJTxeAX,9352.38901,1.403,94.29%,99.48%,N
Pastuhov,HgovzvawYMRPY6Go2kaQF1vLR4rNixooHKrUWSH6aW4C,8884.62037,1.761,86.74%,94.02%,N
Absolute Guard,9G19HT8xqceG7mKQVSrTRS3DGnGqDHErPyQEaEfyWEuW,8429.40159,1.719,88.01%,95.11%,N
funnyponybunny,H878keHKWKrviodvW2m2PsoV5ehiQX5n6hbzDQCkSrET,8349.93370,1.465,92.60%,99.11%,N
Foundry,4GAmUQ8FvKcTzeYGqxu2oSBMStYNwDTmBo7LC1Csg6SE,7911.08044,1.986,83.06%,85.79%,N
,BfbkjGQJjfA8DDD6Pkkdc9c2okMQ2pzrg7qpbiYs7TGC,7865.32768,2.402,85.19%,92.53%,N
KarKar 0% FEE + TOP APY + JITO🔥🔥🔥,7BEkR6kjnh7XPxQ4Ew5ePby7orLrXKT4zDE97kbN1fiT,7727.89369,1.765,86.83%,93.72%,N
,EFEKcHrUBsRoQkuTSJAQNZnj1u8h9oE4LoCYerednc3F,7386.11609,1.860,84.35%,94.21%,N
007,8Dfm249TXe9Wd3wYEnpBdSme659gecoEMH8zx1YWN79v,6970.03450,1.965,85.10%,93.74%,N
shurik,G8GqFzoEZrxHqV279nYxD5PX1vWWHvxWHkBDkXU2qMy6,6944.71701,1.542,90.64%,98.56%,N
Dan's Validator,B38JgkTi7Fu2Uxk8JzNw4M7aMhVxzGu2fsRqHNScPkCQ,6937.85431,1.906,81.71%,93.74%,N
Craftorium,2bm3fmyLq12943jC1UePUcvFho7y1bUik8PisvsRc2yq,6920.10476,2.057,82.30%,91.29%,N
Gadfly Validator,Ccd7Sbwz18cHZ24uYomhc7JHhXKHZxyb9Nvyf5DncbTh,6877.51522,1.707,85.44%,98.66%,N
FlowerLover,37x8TtovaYhKBaByjhNyFb7p4AiJprjm9FnfzeZK6qqo,6514.48156,1.707,87.97%,97.74%,N
Jasper Staking,X5b4FjDKLpYKscwktr3nZjPwTPxsuSiLURNxZKqSvCw,6316.25612,1.745,83.69%,99.45%,N
AllianceCook,52YQr3Je2C1BJMFc4AxydsT4tad3J9ZVHFDHPNMJznE5,6277.30144,1.639,89.32%,96.04%,N
,EdPchRNAXoFUnawzcJYgKzx1b2j9mqQ8VssC1Unfrivm,5940.77579,1.608,92.02%,98.30%,N
Matanat,3YdhWTVMJ1SrouL2ym5LVmj3pYc6EYAwnXwguvccCACp,5464.52028,1.807,84.55%,96.37%,N
vlada1,C2HZnYeF5BBbtAA96iZYcFPv3vqRUur7ZXXYAAZ1GMfw,5228.76512,1.642,87.71%,97.72%,N
Picasso,PicAVSPJBxGianeFm8r9fSLkudZXX73QzYwKe1CpwAh,5017.49508,2.135,76.95%,84.77%,N
gunray,LneJvrSDJGqfpbsKHPfyaxSPecBtqRHTJnwyBzG4vPC,4736.17899,1.994,83.13%,93.37%,N
Dirizhable 🇫🇷 | +Jito,4BwKbV3ViY9huwhxRrbYWC5GgRUCwEe9k1YpFqFC7kQa,4354.12590,1.810,89.25%,96.54%,N
"#3 MEVSOL.io | APY ~11%, 0% fee, 0% Jito!",25rtQR4h9BQKMcU6a1DxpZjB27dwcRUAdVb9binerD9E,4307.77878,1.315,95.66%,99.88%,N
NexaSphere Validator. 0% FEE JITO MEV,8pjtSdYyBZU95qnopcoSZynqntyMvWdwixRMrntqGKAd,4195.58731,1.455,94.19%,99.74%,N
DerNode,DCkFCCEQCuRTcJ3y4rTnWyXnQsi5abfCFXPZZ7pjPJqG,4132.39803,2.446,88.63%,95.55%,N
Little Tony,AZcKUCnvQfdL3BWgX5KUDDRd769WR1AtFE7SV3Q4Pzeg,4000.99972,1.793,86.15%,92.45%,N
CARASOL,CaraHZBReeNNYAJ326DFsvy41M2p1KWTEoBAwBL6bmWZ,3998.72313,1.425,93.61%,99.70%,N
Node Doctor,7ztvwhHQxU68beHN88iK2h7KMZb3zdHcESWpNHJhQwsc,3689.86972,2.054,76.98%,88.44%,N
,28E8jAYguhHPuuMKxQJpSmU3J75zi6iFmktYbiam8eyS,3656.56989,1.620,88.09%,99.47%,N
byasa mencius,6GoijNiK3JZVAY96ykCfPhcJnrQfrQMLvrQaX5HyMVhu,3419.50400,1.670,88.00%,97.17%,N
"#1 MEVSOL.io | APY ~11%, 0% fee, 0% Jito!",7spi8Z1CpG1AezUpjHQ5rGKxw2dBoeTfBmQxqT1YkS9y,3324.91095,1.334,95.21%,99.64%,N
dimGate,E3yhPs5PPN4RZh8FbJo2eqtdrAYKCK9H7pcSD1vCNCP4,3291.89426,1.851,91.08%,97.67%,N
LakeStake,LAKEuKJQYVFpf4vyjX7iuf9ajHo3k9FiyewYKf6VxPV,3289.36652,1.860,83.18%,92.92%,N
Yekat,C2KtdF4FBNybpJrAW9p57SRxv1cqH7EAFeJPJ9J3biLi,3109.08833,2.701,81.76%,89.56%,N
Meria,H2tJNyMHnRF6ahCQLQ1sSycM4FGchymuzyYzUqKEuydk,2772.20497,1.771,85.60%,92.28%,N
佛金疯 Solana Chinese Community,EtMSc3MvcDXUr6ChK5GxyFVwTxYA3zqP5XzjE9jwKvSV,2609.46315,1.681,86.94%,93.63%,N
,Eb1oa4AfSUb5bHrKnNdSkZwjoAofMcLnkF7LgYBAyfsY,2589.84549,1.738,86.53%,91.97%,N
luav34,53gnaHMxDzGTZ9A58S4jbc1qzhYT4X51thUD4MdSBiyo,2548.97761,1.955,89.84%,97.65%,N
Mercurial Validator,4z9rbspUBsnZmTQbWSSPETkXmWHfhzQXXc289Z3m6XcJ,2499.98387,1.352,95.30%,99.73%,N
Skeet Framework,SKTBkag6kjXVTTJb2nWbuK3mZQXnMrrbMPxYU7uhbL7,2374.43127,2.048,78.71%,84.17%,N
ARM Armenia Validator,9PK3feEcZ5LZwyDEygtr84qYN5tk7jSUxhqzFEw5FsEv,2236.03020,1.433,93.44%,99.44%,N
"#2 MEVSOL.io | APY ~11%, 0% fee, 0% Jito!",GCUWGuMnmtMv3BFMx8EmeWxst18sihXxyU3skeNGTj8A,1907.98063,1.312,95.70%,99.88%,N
Solana Bounty Beach 🏖️ Powered by Jito,eYz2SxqtjoojYR3KVvLU3wBQks62fKcGX2821eChPw2,1733.98869,2.149,77.12%,81.92%,N
Notifi Network,Fi5PyZW2FHsrDWvHRwNBiAAuHRg7467jhpEwC29zd567,1675.48173,2.175,75.07%,83.08%,N
Solasolana,AV2h5iBU1Tkdy8j4rxgJK7nBJYvR11hD3dyvjoyBvbYu,1584.11890,1.611,89.61%,95.43%,N
DR. Leon | 0% fee,Bk8riTBHQgTgRfszdKioFrpx2P6VMRZXDmzs3zWtT1Me,1463.60188,1.444,93.17%,99.42%,N
Solarius,9FZWpUMfXZ3993g2BfqSFg7xcx9iUCxQwKeYzr2WQCM1,1439.03254,1.881,90.41%,98.32%,N
Renthyz 0% +MEV,DZQyJF6HwnNejtTbNtihHVi4C8wBbLmRLWnsn1t6sgo8,1327.89051,1.993,80.96%,86.22%,N
Ishtar,CtiiCQbRh13cqorWaEimroRznTL2qTytNhzYz53BCnbq,1317.41751,2.049,88.71%,96.87%,N
pafnutij,2YNubqM7eHLEL7JnygJYSWPq42LXYKiL5GkXfvEbZGQW,1224.99027,2.420,89.84%,96.57%,N
iluxa,ERXQNpsCnxHWhiTjFTKuRYRJs13hHqSKJdx5aDGe8Ww3,1106.83216,1.466,93.88%,99.04%,N
Avada Kedavra 🐍,He4AUUbyUciqmWuAga11ucr2tM64GA3NqFXYEPmHPv6t,1082.15431,1.319,95.69%,99.88%,N
Rackdog,4WYZhk6CYCVEqpehJbv6w7wJUgW2nDjeVMPvsomy8mbM,1027.06575,1.459,93.28%,99.75%,N
"Wagyu Validator - Premium Stake, Premium Returns (No Fees!)",WkP89qGBLsdu2XNVigu7WZThfCEsBJEvDBwWxUCv5vj,1026.74355,1.569,86.69%,98.34%,N
Trump,MAGAwoQLu8gzMdb6S7hUCW6twaKrXWVHWDs7qZ1UNJu,1018.44259,1.712,94.44%,97.32%,N
SharkNode,sh4rko7QjstESbderAwDEGitkXuuHdXLK4h8BQkr81i,1007.36343,1.393,94.51%,99.29%,N
🛡️ EverSafe | +0% MEV,3nYnW8z3Aum5U6HiVLJkR71rauWPW2hyvngye4t25rPt,989.06523,1.410,93.58%,99.89%,N
Free Ross Validator - Portion of proceeds to freeross.org,FREEL1BCzmPpNneC7FHCtBqzeWYrHRbtisFvi4N8XUP9,946.33914,1.520,95.33%,98.34%,N
IggyStake,motHerBDDLoLpk1VwWmztHvw81sMdyoQKtcGsdbYzYq,945.95352,1.893,95.13%,98.08%,N
DogWifValidator,HaTniLULzUW7Mfq5qBXPU3okduucnoq81Kr21niLjNgT,874.80873,1.785,95.01%,98.13%,N
estet008,FD1S7VFjDhWXwq5hnFpmAMqnt8cadQf9o3pNzr3ETJTZ,847.70824,1.666,85.96%,99.70%,N
AMS 0% Validator | No commission + Jito/MEV,5AmyDJ3uyTf4poghKocgUePjFR2y9PgKkZLFM1S1aL6U,841.19777,1.311,95.98%,99.83%,N
,B9aUcoqmbxJgbPb28oVoZg6WsXUj6Hf6Wu5P7CUbJ6NU,834.42366,2.232,83.20%,93.27%,N
DriveSol,9DR48EtgDzh3Gx5HiiQikZn9c2y12casm1bcUMuurV2x,833.42513,2.055,78.63%,89.40%,N
Olegvid,BXaSsyrvY5o19AoRDovjzVyZU9nXHixuDfNjBH8pfbjd,750.89392,1.913,85.84%,92.90%,N
brane226,7yXM5mUSAtBuh2TcCABvSJa3LouZ8wcLps5zTEMiwxvj,680.56779,1.907,83.56%,93.03%,N
SolarTeam,8PTusiY7z4wfjScHU6hr459AFDzrCki4wWmwhXd91mMr,665.32789,1.521,92.23%,99.70%,N
Metisado,9DUTDovSg7Tfc2C9mBHvtGfqfgaBY7srBb2ZYPCDgUPY,595.00101,1.535,91.48%,98.64%,N
Stake-Take,8gGA1SZZ4ASou3mHm61T6vM4jskkjYzXFmbCLwtU3x3j,542.93784,2.008,81.17%,92.14%,N
,6D9w8FRw5EFr5qtZEphPpughN3W8zc8p6zMXg4PFuaXL,512.03174,1.676,89.64%,98.09%,N
,3zQ1MrxjQQFzZ1pwf3jkBQJsx3A6fo661Td1afYh3Euc,510.49238,1.401,94.41%,99.84%,N
,99qWAJz1guUvUFwYAXr8jLMvPn2Tj3DWXjmC4q9SvjjQ,491.22294,1.439,93.31%,98.58%,N
,4FvYz1jD34CLpN4FhLVEnqAboc1HM4JUErBjxQaj8YY8,490.39488,1.476,92.65%,98.22%,N
,3haaHvHV8v6hDoUHVoKnEVZ6ZyyqFexJDizXi1ZoxtJn,465.88068,1.486,92.43%,98.07%,N
,7BmZ4jKsK1ewLZAPajQJdAZeKTpnfebTuzqZjfKT5pcr,430.51753,1.369,94.81%,99.70%,N
olikluk86,5KZ2dv5fnpJGy9LjwXkvXX5M7U6NjqxW8UfbVkTph89n,429.63627,1.540,91.02%,98.58%,N
888|tnso,FdD4CP38NUZf2e1dN6tLw5Q4iU2cb438v1eGcQy5x3nQ,419.47748,1.676,89.75%,95.66%,N
Victorius,EuUxT2aEqiAVkCjdfjehTYzPA9vGSrS4AEcroUf3Cxq6,408.26374,1.670,92.65%,98.92%,N
sashamaxymchuk,97QujuhmyxD19CpgdyNAcJXvKi6oDeyRPdNep6uXBbA4,339.06841,2.319,83.00%,89.05%,N
Klamenzui,9y1fMDRdYaYbCSWEv3sivjns4Sc7eDW8wFQYT1DnCsQa,306.13906,1.535,90.21%,99.66%,N
,F9yuGStLA8Mq67nQKGwp9SRG4JzQNU5U4zFPmgbS1YS,266.12809,1.785,92.32%,99.03%,N
,GmyxzCjsRJupxiiHJxKuiSYy3jrrDvn9pBkbhHzqCH1K,236.69835,2.648,81.69%,88.85%,N
,5fdEXhCBKC7FRRsH64asZCSiwgNXRozxmzb1cFzfrtWM,216.00016,2.050,77.84%,88.54%,N
,FQ7vjqjz7sxLA9m34TfieT7dZZ6hsaNhJV6r744UDRKR,214.53863,2.200,92.18%,98.35%,N
natakb,6FMaXpe2KWDeqzKVuKBAJRgG79zARSLsFkwYyKrij4vX,188.78357,2.106,89.85%,97.45%,N
Cryptology,BfxZj7ckfRGHxByn7aHgH2puyXhfjAUvULtRjJo4rd8C,166.88160,1.756,85.72%,91.13%,N
123223,GxYEVifcdfhoLqokuFUQmBFhCwuXXqPbuMDurc5JQoZZ,149.99771,2.326,73.22%,78.28%,N
,3UZVAr2B7wCyPZUhFftaYTpyUcbinLwNEvkgZqje14Wr,149.99771,1.850,84.54%,89.94%,N
,5wP5Qm9frQfXY9QadZZHqgy6GEvqtHjpJ6uongxdb5gJ,139.99772,2.543,77.29%,95.59%,N
,37Fz6yZjFdZS6DDsJSsswX5kSvunaZQtQ5zusC3y9V7S,139.99772,2.302,80.39%,96.07%,N
,4VYA9PECtNzDRXNHKepzMprS1Y6nxKF4oRRnwkJqQZys,139.99772,2.231,79.87%,96.57%,N
,6m4ZwGp8zCuqjBoAn11pYAQun2FwSMe86RwPbqpf34YC,139.99772,1.736,86.41%,97.44%,N
,8PUpp7RJjTriZXRu2fQiWbaS9MrED8L5t7kPuFTWxRAs,139.99772,1.852,93.12%,98.20%,N
,CyxKaD6TayfbCRx6mSrLpPY1YSLofdVZKA6BSThXWfXS,139.99772,2.060,89.07%,95.40%,N
,3Grtx7bvWU7FPZDWZRdUUmigXBSfkJUzwdZqgfAapcgz,139.99772,2.365,80.34%,97.21%,N
,6QqKyiWbTakuVviGWLAjfoFsyULUMxnFTRbxNcAF7HvY,139.99772,1.977,78.18%,99.67%,N
,CKLRSR1fxYybR553rjwknHdnShRFmYAcCZWvoTExBqBp,134.60335,2.571,78.11%,86.54%,N
,G8fLwPKzRD8HtStVtos65Cmiy6Jjs8Y4dNFRFcdSUhVj,134.15311,1.712,85.95%,94.63%,N
1package,8PMeDKfxUKv4KJBBQJYPmfyZfoYYnMju6fnokRR9uT2w,128.50549,2.544,84.63%,98.22%,N
,6tZcqt31FzJv6DhnNeS8xBCH66gvcL5ACrfqyqxQvgJg,124.64489,2.043,80.84%,90.55%,N
,GJQjnyhSG9jN1AdMHTSyTxUR44hJHEGCmNzkidw9z3y8,124.36817,2.647,85.46%,91.69%,N
,3Z1N2Fkfha4ThNiRwN8RnU6U8dkFJ92DH2TFyLWJf8cj,123.26666,2.654,85.04%,91.79%,N
moon_light,UgmcX7FwNdXbiWsHY2RaqZqTdhsZxx5y6on85j3s3tA,121.07784,1.888,92.48%,98.39%,N
feda,AMvyqeuRBxcDuy38MuGtPksvBtpuT3NPyoiVBDbzza6P,119.62657,1.723,86.99%,94.15%,N
O'Solemio,7HhmcAGzjChFjG1qsN4Y9NPgDWfytXXVA7ZRBWE7eZc3,119.43409,1.946,81.66%,89.93%,N
Moovi,CviQXDMPZPVAZ5qgVGN2gSBSD9GqqwRt7VZidoHMpArr,118.89067,2.202,75.83%,81.67%,N
,4bhoRSz53dMABDx2CkA9KSXtu5NGhoJA1SzY1h2Pttqi,118.48491,2.071,79.62%,85.46%,N
,63mj5NgxsJigb6GEc4KVMsydnM4fQ8qg5ujU57puT154,118.03961,1.498,91.93%,98.52%,N
✨🌻 Stakeyard Validator 🌻✨,Syrd4L1eGcZdhRGoB9wb4aJKKJKv9gMudZLMnXdV7AR,116.87862,1.398,94.18%,99.03%,N
,EARTHZeTM64X3UMYf5rcWonQkTCn3uifEwutBx6e656K,114.20954,1.587,90.96%,96.59%,N
Stake-o-Matic,EwtnPXAgJsN8GVpX4GiJc1pSKcMGnCVmwwDiXrjuC3fP,110.22630,1.749,84.95%,94.37%,N
,9cn49HT2MVjUQtrFQU6WJ29w5THLuHLCjawuEzQf5rVH,110.00525,2.160,75.17%,80.53%,N
,9KUA3BzMqFb5R8KLLdaMDHGkdKWUDwev7B3xY6a3VubD,107.38413,1.783,86.83%,93.17%,N
PokerPro,GyHM7HLmryEbnsK42abvCL2W2XAQLV3ijpYaZf5ietdQ,107.38181,1.780,85.13%,99.30%,N
🌐 Crypton | No Fee +mev share,8CKQeLWLkFXD9kg2U4y238i4eQrAxsoVtNA1dAtysbfJ,105.31453,1.304,96.06%,99.94%,N
Ikari,HBuFNK1dRGsqbrornwge5YVpN9AYF5T2issPmPdvLBWk,104.42920,1.570,89.63%,96.25%,N
,CY3tZ2Rh3tHHC2SAmiJUGMAj1b9uPpzr5YQ7b53PfANe,103.86353,1.412,93.98%,99.76%,N
Nexus 🔗 [0%],GbC2vzt6S2HsUAJ46Qfh3aoG6oB9y3V4T7XD7914K5na,102.30559,1.429,93.24%,99.83%,N
,88GrXE71Kn7oxrptCy8bgmQHBwVhxXz9EGwZ981N3j2Z,101.74150,1.715,87.29%,94.83%,N
🔮 Oracle 0%,4mUZWLYoo16fe2S2xZ1DdXZHBxynRWBAf3prokBQsxac,101.31583,1.318,95.77%,99.93%,N
